,parameters,training_rmse_0,training_rmse_1,training_rmse_2,training_rmse_3,training_rmse_4,valid_1_rmse_0,valid_1_rmse_1,valid_1_rmse_2,valid_1_rmse_3,valid_1_rmse_4,best_iterations_0,best_iterations_1,best_iterations_2,best_iterations_3,best_iterations_4,training_rmse_mean,valid_rmse_mean,best_iter_mean,overfit_flag
0,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 200}",1418.7458077195513,1416.8953862733008,1412.065012737338,1416.752452709,1413.8247972720549,1639.2523842971912,1633.1866691141859,1649.8311028379433,1622.4790432749408,1637.352797291359,200,200,200,200,200,1415.656691342249,1636.420399363124,200.0,220.76370802087513
1,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 200}",1470.6742892281575,1471.4640772550226,1468.1196595960007,1471.0976404983617,1468.2774995022055,1652.2546840853856,1643.9682253045721,1655.825686392511,1629.2732981002562,1649.4669786572358,200,200,200,200,200,1469.9266332159498,1646.1577745079921,200.0,176.23114129204237
2,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 200}",1369.3045453662862,1399.5365579427028,1393.1530281984803,1380.7140221158622,1392.8993513577998,1645.2348115542125,1645.8160675390127,1659.8574782623032,1635.6190945303886,1651.934002979649,149,121,129,141,128,1387.1215009962264,1647.6922909731134,133.6,260.570789976887
3,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 200}",1376.8025824492956,1406.3500352634035,1382.634826259791,1418.9526526532802,1403.7888717325325,1648.8117982920855,1646.4319580419408,1659.3307579906295,1637.8572984343068,1657.1470226096815,200,172,200,152,166,1397.7057936716606,1649.9157670737288,178.0,252.20997340206827
4,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 200}",1512.1086663367105,1513.017035525208,1509.9503702635643,1518.3177207836986,1513.618225611518,1656.458421208084,1647.66742087216,1663.7682206903532,1635.1272434041923,1653.6827796070486,200,200,200,200,200,1513.40240370414,1651.3408171563678,200.0,137.9384134522279
5,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 100}",1427.387010195634,1430.3506287370642,1429.541628579005,1431.279228400468,1427.8931451875283,1651.8465244423808,1649.8615003391988,1663.1704426236915,1638.4995490072386,1654.979175851138,100,100,100,100,100,1429.29032821994,1651.6714384527295,100.0,222.38111023278952
6,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 200}",1423.8966030016898,1421.0648676442656,1419.9636539091946,1432.632808847764,1427.4700130483704,1658.2754011803427,1651.0964335225183,1662.0635275306513,1637.1793134071308,1659.4267326199085,200,200,200,200,200,1425.005589290257,1653.6082816521102,200.0,228.60269236185331
7,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 200}",1510.8433822213117,1514.49488301914,1512.8999263120982,1513.2415093645845,1513.0913626349832,1660.496575491047,1650.6728750898335,1664.833064301706,1639.1943811916228,1658.7002703496196,200,200,200,200,200,1512.9142127104235,1654.7794332847657,200.0,141.86522057434217
8,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 100}",1517.4972273651424,1518.5364641889648,1512.3910761430304,1519.0174019417993,1516.0553893468589,1659.7514420054772,1652.5433623479785,1669.4569840460615,1639.317842536847,1655.762554459595,100,100,100,100,100,1516.6995117971592,1655.3664370791917,100.0,138.66692528203248
9,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 32, 'num_round': 200}",1460.314231216418,1458.010608725034,1477.8497155560651,1463.6469828808802,1459.9314217618187,1657.329023689266,1654.826090387792,1669.2307334603277,1639.2392829746177,1659.6679309827332,200,200,173,200,200,1463.950592028043,1656.0586122989473,194.6,192.10802027090426
